x,y
1.000000000000000000e+00,9.122901261530759476e-02
2.000000000000000000e+00,1.327325156667271411e-01
3.000000000000000000e+00,1.386565090749949936e-01
4.000000000000000000e+00,1.902857189298384766e-01
5.000000000000000000e+00,1.975991203895053061e-01
6.000000000000000000e+00,2.185540465543933109e-01
7.000000000000000000e+00,2.904600695481850958e-01
8.000000000000000000e+00,3.133016229367279748e-01
9.000000000000000000e+00,3.127335080810114132e-01
1.000000000000000000e+01,3.259927313264703863e-01
1.100000000000000000e+01,3.289311723712168289e-01
1.200000000000000000e+01,3.428029662893212759e-01
1.300000000000000000e+01,3.571631433459452332e-01
1.400000000000000000e+01,3.564691324529399852e-01
1.500000000000000000e+01,3.701785415718641392e-01
1.600000000000000000e+01,3.918575883047926700e-01
1.700000000000000000e+01,4.044935558655845531e-01
1.800000000000000000e+01,4.170762178846675328e-01
1.900000000000000000e+01,4.080906446212681504e-01
2.000000000000000000e+01,4.214685293553814827e-01
2.100000000000000000e+01,4.288511081582184747e-01
2.200000000000000000e+01,4.453961648149054597e-01
2.300000000000000000e+01,4.469480817467647027e-01
2.400000000000000000e+01,4.444722706965401060e-01
2.500000000000000000e+01,4.568255697464698728e-01
2.600000000000000000e+01,4.662027327901171470e-01
2.700000000000000000e+01,4.778608993402256311e-01
2.800000000000000000e+01,4.872398631799611524e-01
2.900000000000000000e+01,4.945657930380080725e-01
3.000000000000000000e+01,5.006521586369494514e-01
3.100000000000000000e+01,5.085231177035767214e-01
3.200000000000000000e+01,5.157074361552530517e-01
3.300000000000000000e+01,5.211537951763689502e-01
3.400000000000000000e+01,5.265661401069507974e-01
3.500000000000000000e+01,5.338325587702394959e-01
3.600000000000000000e+01,5.490522348092174987e-01
3.700000000000000000e+01,5.567351184054309954e-01
3.800000000000000000e+01,5.610792122661345527e-01
3.900000000000000000e+01,5.659164446645826851e-01
4.000000000000000000e+01,5.691657797618124848e-01
4.100000000000000000e+01,5.828785388865110884e-01
4.200000000000000000e+01,5.861679752159548729e-01
4.300000000000000000e+01,5.800195800258594048e-01
4.400000000000000000e+01,5.811784035876228494e-01
4.500000000000000000e+01,5.835199722609494266e-01
4.600000000000000000e+01,5.866245366502730318e-01
4.700000000000000000e+01,5.910365081551002264e-01
4.800000000000000000e+01,5.944929023323357598e-01
4.900000000000000000e+01,5.960655394663330053e-01
5.000000000000000000e+01,6.100960317025931889e-01
5.100000000000000000e+01,6.117673707286126472e-01
5.200000000000000000e+01,6.158597338218732009e-01
5.300000000000000000e+01,6.169812285969642485e-01
5.400000000000000000e+01,6.170992746578828347e-01
5.500000000000000000e+01,6.202478339467665247e-01
5.600000000000000000e+01,6.221992751993892234e-01
5.700000000000000000e+01,6.170372822269865054e-01
5.800000000000000000e+01,6.158699258344841887e-01
5.900000000000000000e+01,6.205058142941374255e-01
6.000000000000000000e+01,6.226602621987011865e-01
6.100000000000000000e+01,6.223234730202535925e-01
6.200000000000000000e+01,6.306314946984892256e-01
6.300000000000000000e+01,6.386640031453062472e-01
6.400000000000000000e+01,6.441597918192663030e-01
6.500000000000000000e+01,6.493806421026593334e-01
6.600000000000000000e+01,6.515272771819113906e-01
6.700000000000000000e+01,6.537469187603175413e-01
6.800000000000000000e+01,6.562499043517187047e-01
6.900000000000000000e+01,6.636973767073310881e-01
7.000000000000000000e+01,6.679680170258699423e-01
7.100000000000000000e+01,6.713959275765244428e-01
7.200000000000000000e+01,6.736260867132888297e-01
7.300000000000000000e+01,6.754840212084829432e-01
7.400000000000000000e+01,6.782871945355937182e-01
7.500000000000000000e+01,6.805072558921752002e-01
7.600000000000000000e+01,6.812152511683918776e-01
7.700000000000000000e+01,6.813636913696961006e-01
7.800000000000000000e+01,6.849087873104233726e-01
7.900000000000000000e+01,6.871175248444457706e-01
8.000000000000000000e+01,6.864130327308664015e-01
8.100000000000000000e+01,6.897617215700954096e-01
8.200000000000000000e+01,6.926875582446987423e-01
8.300000000000000000e+01,6.940214559073545342e-01
8.400000000000000000e+01,6.881348268837614857e-01
8.500000000000000000e+01,6.873616111688132246e-01
8.600000000000000000e+01,6.912466053620923701e-01
8.700000000000000000e+01,6.947188613710404415e-01
8.800000000000000000e+01,6.976175305814210637e-01
8.900000000000000000e+01,6.989852139820064147e-01
9.000000000000000000e+01,6.989359880498040578e-01
9.100000000000000000e+01,7.025225929115228585e-01
9.200000000000000000e+01,7.080824595024999280e-01
9.300000000000000000e+01,7.110756089447642925e-01
9.400000000000000000e+01,7.153125293016797670e-01
9.500000000000000000e+01,7.168306563940595177e-01
9.600000000000000000e+01,7.179079910448982194e-01
9.700000000000000000e+01,7.199626170381505652e-01
9.800000000000000000e+01,7.250678184000256543e-01
9.900000000000000000e+01,7.244288496262650812e-01
1.000000000000000000e+02,7.239076052507275039e-01
